"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"6746","CE0194V004JG","Diligencias","Casa en Venta",3520000,"$",272,270,4,4.5,19.2662718,-99.1707348,"San Pedro Mártir","Tlalpan","Distrito Federal","CE0194V004JG",NA,"Venta"
"6747","DI0NP4V001MI","Cerrada de Niños Heroes","Casa en Venta",1750000,"$",121,91,3,2.5,19.26341167,-99.16668408,"San Pedro Mártir","Tlalpan","Distrito Federal","DI0NP4V001MI",NA,"Venta"
"6748","DI0NP4V001M1","Laurel","Casa en Venta",1950000,"$",120,80,3,2.5,19.26598704,-99.16604438,"San Pedro Mártir","Tlalpan","Distrito Federal","DI0NP4V001M1",NA,"Venta"
"6749","MA0024V00ABB","JUAREZ","Casa en Venta",6250000,"$",381,377,3,2.5,19.2517181,-99.1665071,"Tlalpan Centro","Tlalpan","Distrito Federal","MA0024V00ABB",NA,"Venta"
"6750","RE0YW4V003RK","Diligencias","Casa en Venta",4950000,"$",250,168,3,2,19.2665497,-99.1705481,"San Pedro Mártir","Tlalpan","Distrito Federal","RE0YW4V003RK",NA,"Venta"
"6751","MA00214V009DX","DILIGENCIAS","Casa en Venta",2450000,"$",148,86,3,2.5,19.26716398,-99.17017471,"San Pedro Mártir","Tlalpan","Distrito Federal","MA00214V009DX",NA,"Venta"
"6752","MA0GS14V001EI","DEL ROSAL","Casa en Venta",1480000,"$",87,142,3,2,19.26531208,-99.16908723,"San Pedro Mártir","Tlalpan","Distrito Federal","MA0GS14V001EI",NA,"Venta"
"6753","AD00814V000LV","GAMA","Casa en Venta",4605000,"$",263,172,3,3.5,19.26765879,-99.17045689,"San Pedro Mártir","Tlalpan","Distrito Federal","AD00814V000LV",NA,"Venta"
"6754","RE0FF14V000NS","Diligencias","Casa en Venta",3999999,"$",218,238,3,2.5,19.2665497,-99.1705481,"San Pedro Mártir","Tlalpan","Distrito Federal","RE0FF14V000NS",NA,"Venta"
"6755","IN02B14V002BO","5 de Mayo","Casa en Venta",4342000,"$",224,160,3,3.5,19.2377678,-99.1802801,"San Pedro Mártir","Tlalpan","Distrito Federal","IN02B14V002BO",NA,"Venta"
"6756","MA00214V00AU8","5 DE MAYO","Casa en Venta",4342140,"$",197,144,3,3.5,19.26673627,-99.17036666,"San Pedro Mártir","Tlalpan","Distrito Federal","MA00214V00AU8",NA,"Venta"
"6757","GR03I14V001ZJ","5 de mayo","Casa en Venta",4915460,"$",223,149,3,3.5,19.2377678,-99.1802801,"San Pedro Mártir","Tlalpan","Distrito Federal","GR03I14V001ZJ",NA,"Venta"
"6758","MA0MB14V00001","Av. 5 de Mayo","Casa en Venta",4975000,"$",223,150,3,3.5,19.26163144,-99.17241409,"San Pedro Mártir","Tlalpan","Distrito Federal","MA0MB14V00001",NA,"Venta"
"6759","TK0018V003D5","AUTOPISTA MEXICO CUERNAVACA","Departamento en Venta",2500000,"$",160,NA,1,1,19.2652416,-99.165526,"San Pedro Mártir","Tlalpan","Distrito Federal","TK0018V003D5",NA,"Venta"
"6760","GA0YB8V001KV","AUTOPISTA MÉXICO CUERNAVACA","Departamento en Venta",2500000,"$",160,NA,2,2,19.2652416,-99.165526,"San Pedro Mártir","Tlalpan","Distrito Federal","GA0YB8V001KV",NA,"Venta"
